country,name,position_group,club,league_tier,rank_top100,role,skill,status
England,Ollie Chessum,Forwards,,PREM,,STD,76.0,SQUAD
England,Arthur Clark,Forwards,,PREM,,STD,76.0,SQUAD
England,Alex Coles,Forwards,,PREM,,STD,76.0,SQUAD
England,Luke Cowan-Dickie,Forwards,,PREM,92.0,STD,81.7,SQUAD
England,Chandler Cunningham-South,Forwards,,PREM,,STD,76.0,SQUAD
England,Tom Curry,Forwards,,PREM,27.0,SPINE,94.1,SQUAD
England,Theo Dan,Forwards,,PREM,,STD,76.0,SQUAD
England,Trevor Davison,Forwards,,PREM,,STD,76.0,SQUAD
England,Ben Earl,Forwards,,PREM,37.0,STD,92.2,SQUAD
England,Greg Fisilau,Forwards,,PREM,,STD,76.0,SQUAD
England,Ellis Genge,Forwards,,PREM,58.0,STD,88.2,SQUAD
England,Jamie George,Forwards,,PREM,60.0,STD,87.8,SQUAD
England,Joe Heyes,Forwards,,PREM,,STD,76.0,SQUAD
England,Maro Itoje,Forwards,,PREM,12.0,SPINE,96.9,SQUAD
England,Emmanuel Iyogun,Forwards,,PREM,,STD,76.0,SQUAD
England,Guy Pepper,Forwards,,PREM,,STD,76.0,SQUAD
England,Henry Pollock,Forwards,,PREM,47.0,STD,90.3,SQUAD
England,Bevan Rodd,Forwards,,PREM,,STD,76.0,SQUAD
England,Vilikesa Sela,Forwards,,PREM,,STD,76.0,SQUAD
England,Sam Underhill,Forwards,,PREM,,STD,76.0,SQUAD
England,Henry Arundell,Backs,,PREM,,STD,76.0,SQUAD
England,Seb Atkinson,Backs,,PREM,,STD,76.0,SQUAD
England,Elliot Daly,Backs,,PREM,,STD,76.0,SQUAD
England,Fraser Dingwall,Backs,,PREM,,STD,76.0,SQUAD
England,Immanuel Feyi-Waboso,Backs,,PREM,25.0,SPINE,94.4,SQUAD
England,George Ford,Backs,,PREM,60.0,STD,87.8,SQUAD
England,Tommy Freeman,Backs,,PREM,41.0,STD,91.4,SQUAD
England,George Furbank,Backs,,PREM,,STD,76.0,SQUAD
England,Alex Mitchell,Backs,,PREM,84.0,STD,83.2,SQUAD
England,Cadan Murley,Backs,,PREM,,STD,76.0,SQUAD
England,Max Ojomoh,Backs,,PREM,,STD,76.0,SQUAD
England,Henry Slade,Backs,,PREM,,STD,76.0,SQUAD
England,Marcus Smith,Backs,,PREM,69.0,STD,86.1,SQUAD
England,Ben Spencer,Backs,,PREM,,STD,76.0,SQUAD
England,Freddie Steward,Backs,,PREM,,STD,76.0,SQUAD
England,Jack van Poortvliet,Backs,,PREM,,STD,76.0,SQUAD
France,Dorian Aldegheri,Forwards,,TOP14,,STD,78.0,SQUAD
France,Hugo Auradou,Forwards,,TOP14,,STD,78.0,SQUAD
France,Cyril Baille,Forwards,,TOP14,,STD,78.0,SQUAD
France,Georges-Henri Colombe,Forwards,,TOP14,,STD,78.0,SQUAD
France,François Cros,Forwards,,TOP14,,STD,78.0,SQUAD
France,Alexandre Fischer,Forwards,,TOP14,,STD,78.0,SQUAD
France,Thibaud Flament,Forwards,,TOP14,,STD,78.0,SQUAD
France,Jean-Baptiste Gros,Forwards,,TOP14,,STD,78.0,SQUAD
France,Mickaël Guillard,Forwards,,TOP14,,STD,78.0,SQUAD
