season,round,home,away,home_score,away_score,match_file
2025,1,France,Wales,43,0,France-Wales.xlsx
2025,1,Scotland,Italy,31,19,Scotland-Italy.xlsx
2025,1,Ireland,England,27,22,Ireland-England.xlsx
2025,2,Italy,Wales,22,15,Italy-Wales.xlsx
2025,2,England,France,26,25,England-France.xlsx
2025,2,Scotland,Ireland,18,32,Scotland-Ireland.xlsx
2025,3,Wales,Ireland,18,27,Wales-Ireland.xlsx
2025,3,England,Scotland,16,15,England-Scotland.xlsx
2025,3,Italy,France,24,73,Italy-France.xlsx
2025,4,Ireland,France,27,42,Ireland-France.xlsx
2025,4,Scotland,Wales,35,29,Scotland-Wales.xlsx
2025,4,England,Italy,47,24,England-Italy.xlsx
2025,5,Italy,Ireland,17,22,Italy-Ireland.xlsx
2025,5,Wales,England,14,68,Wales-England.xlsx
2025,5,France,Scotland,35,16,France-Scotland.xlsx
2024,1,France,Ireland,17,38,France-Ireland.xlsx
2024,1,Italy,England,24,27,Italy-England.xlsx
2024,1,Wales,Scotland,26,27,Wales-Scotland.xlsx
2024,2,Scotland,France,16,20,Scotland-France.xlsx
2024,2,England,Wales,16,14,England-Wales.xlsx
2024,2,Ireland,Italy,36,0,Ireland-Italy.xlsx
2024,3,Ireland,Wales,31,7,Ireland-Wales.xlsx
2024,3,Scotland,England,30,21,Scotland-England.xlsx
2024,3,France,Italy,13,13,France-Italy.xlsx
2024,4,Italy,Scotland,31,29,Italy-Scotland.xlsx
2024,4,England,Ireland,23,22,England-Ireland.xlsx
2024,4,Wales,France,24,45,Wales-France.xlsx
2024,5,Wales,Italy,21,24,Wales-Italy.xlsx
2024,5,Ireland,Scotland,17,13,Ireland-Scotland.xlsx
2024,5,France,England,33,31,France-England.xlsx
2026,1,France,Ireland,36,14,France-Ireland.xlsx
2026,1,Italy,Scotland,18,15,Italy-Scotland.xlsx
2026,1,England,Wales,48,7,England-Wales.xlsx
2026,2,Scotland,England,31,20,Scotland-England.xlsx
2026,2,Wales,France,12,54,Wales-France.xlsx
2026,2,Ireland,Italy,20,13,Ireland-Italy.xlsx
